"sujeto" "trial" "distancia" "respuesta"
"S006" 9 6 2
"S006" 10 5 2
"S006" 11 3 2
"S006" 12 4 2
"S006" 13 3 2.5
"S006" 14 5 2
"S006" 15 6 2
"S006" 16 4 2
"S006" 17 2 1
"S006" 18 1 0.5
"S006" 19 2 0.5
"S006" 20 5 1
"S006" 21 1 0.5
"S006" 22 3 1
"S006" 23 6 2
"S006" 24 4 2
"S006" 25 6 2
"S006" 26 4 1
"S006" 27 3 1
"S006" 28 2 1
"S006" 29 5 1
"S006" 30 1 0.5
"S007" 1 6 10
"S007" 2 5 11
"S007" 3 2 6
"S007" 4 1 3
"S007" 5 3 6
"S007" 6 4 10
"S007" 7 3 10
"S007" 8 1 2
"S007" 9 5 12
"S007" 10 4 12
"S007" 11 2 10
"S007" 12 6 14
"S007" 13 3 12
"S007" 14 1 1
"S007" 15 5 6
"S007" 16 2 5
"S007" 17 6 8
"S007" 18 4 8
"S007" 19 1 1
"S007" 20 6 9
"S007" 21 2 4
"S007" 22 3 5
"S007" 23 5 6
"S007" 24 4 7
"S007" 25 1 1
"S007" 26 5 7
"S007" 27 6 8
"S007" 28 4 8
"S007" 29 3 7
"S007" 30 2 5
"S008" 1 1 3
"S008" 2 2 4
"S008" 3 5 6
"S008" 4 4 7
"S008" 5 6 7
"S008" 6 3 5
"S008" 7 2 3
"S008" 8 5 5
"S008" 9 4 6
"S008" 10 6 7
"S008" 11 1 1
"S008" 12 3 4
"S008" 13 1 0.5
"S008" 14 4 6
"S008" 15 2 3
"S008" 16 5 6
"S008" 17 3 5
"S008" 18 6 7
"S008" 19 5 6
"S008" 20 2 4
"S008" 21 4 5
"S008" 22 6 6
"S008" 23 1 1
"S008" 24 3 5
"S008" 25 1 2
"S008" 26 5 7
"S008" 27 4 6
"S008" 28 6 8
"S008" 29 2 5
"S008" 30 3 6
"S009" 1 6 6
"S009" 2 5 6
"S009" 3 4 7
"S009" 4 2 4
"S009" 5 3 6
"S009" 6 1 2
"S009" 7 4 8
"S009" 8 2 3
"S009" 9 3 4
"S009" 10 6 8
"S009" 11 1 0
"S009" 12 5 6
"S009" 13 3 6
"S009" 14 1 0
"S009" 15 2 7
"S009" 16 5 9
"S009" 17 4 10
"S009" 18 6 11
"S009" 19 5 9
"S009" 20 4 10
"S009" 21 3 7
"S009" 22 1 0
"S009" 23 2 4
"S009" 24 6 10
"S009" 25 4 7
"S009" 26 2 3
"S009" 27 3 10
"S009" 28 5 11
"S009" 29 6 12
"S009" 30 1 0
"S010" 1 2 2
"S010" 2 1 1
"S010" 3 6 5
"S010" 4 5 4
"S010" 5 4 4
"S010" 6 3 3
"S010" 7 6 4.5
"S010" 8 4 3
"S010" 9 2 2
"S010" 10 5 3
"S010" 11 1 0.5
"S010" 12 3 2
"S010" 13 1 0.5
"S010" 14 5 3
"S010" 15 6 5
"S010" 16 2 2
"S010" 17 3 4
"S010" 18 4 3
"S010" 19 6 5
"S010" 20 4 4
"S010" 21 1 0.5
"S010" 22 5 6
"S010" 23 3 4
"S010" 24 2 3
"S010" 25 4 5
"S010" 26 5 4
"S010" 27 3 3
"S010" 28 2 2
"S010" 29 1 1
"S010" 30 6 10
"S011" 1 1 3
"S011" 2 5 6
"S011" 3 4 5
"S011" 4 2 2
"S011" 5 6 4
"S011" 6 3 3
"S011" 7 3 5
"S011" 8 4 6
"S011" 9 5 8
"S011" 10 6 9
"S011" 11 1 3
"S011" 12 2 5
"S011" 13 3 6
"S011" 14 6 7
"S011" 15 2 6
"S011" 16 1 1
"S011" 17 5 4
"S011" 18 4 5
"S011" 19 2 1
"S011" 20 5 3
"S011" 21 3 5
"S011" 22 1 1
"S011" 23 6 5
"S011" 24 4 7
"S011" 25 4 10
"S011" 26 6 10
"S011" 27 3 6
"S011" 28 1 2
"S011" 29 5 4
"S011" 30 2 3
"S012" 1 4 3
"S012" 2 2 1.5
"S012" 3 5 4
"S012" 4 1 1
"S012" 5 3 3.5
"S012" 6 6 5
"S012" 7 4 6
"S012" 8 5 6.5
"S012" 9 6 6.5
"S012" 10 3 5
"S012" 11 1 1
"S012" 12 2 3
"S012" 13 4 4
"S012" 14 3 4.5
"S012" 15 1 0.5
"S012" 16 6 6
"S012" 17 2 6
"S012" 18 5 7
"S012" 19 1 1
"S012" 20 4 4
"S012" 21 2 5
"S012" 22 6 6
"S012" 23 5 6
"S012" 24 3 5.5
"S012" 25 1 1
"S012" 26 6 4.5
"S012" 27 5 4.5
"S012" 28 4 5
"S012" 29 3 5
"S012" 30 2 3
"S013" 1 4 3
"S013" 2 3 3.5
"S013" 3 1 1.5
"S013" 4 6 4
"S013" 5 5 4
"S013" 6 2 3
"S013" 7 1 2
"S013" 8 2 3
"S013" 9 6 4.5
"S013" 10 5 4.5
"S013" 11 4 4.5
"S013" 12 3 4
"S013" 13 6 5
"S013" 14 3 3.5
"S013" 15 1 2
"S013" 16 2 3
"S013" 17 5 5
"S013" 18 4 4.5
"S013" 19 3 3.5
"S013" 20 5 4
"S013" 21 6 5
"S013" 22 2 2.5
"S013" 23 1 1
"S013" 24 4 3
"S013" 25 4 4.5
"S013" 26 3 4
"S013" 27 6 4.5
"S013" 28 1 2.5
"S013" 29 2 3.5
"S013" 30 5 5
"S014" 1 2 2
"S014" 2 6 4
"S014" 3 4 3
"S014" 4 5 3.4
"S014" 5 3 205
"S014" 6 1 1.5
"S014" 7 2 4
"S014" 8 3 6
"S014" 9 4 5.5
"S014" 10 1 2
"S014" 11 6 8
"S014" 12 5 8
"S014" 13 1 3
"S014" 14 6 9
"S014" 15 4 7
"S014" 16 5 6
"S014" 17 2 4
"S014" 18 3 3.5
"S014" 19 1 2
"S014" 20 6 10
"S014" 21 2 8
"S014" 22 5 12
"S014" 23 4 9
"S014" 24 3 6
"S014" 25 5 7
"S014" 26 3 4
"S014" 27 1 2
"S014" 28 2 4
"S014" 29 4 7
"S014" 30 6 9
"S015" 1 4 6
"S015" 2 3 6
"S015" 3 2 4
"S015" 4 5 7
"S015" 5 1 1
"S015" 6 6 9
"S015" 7 4 9
"S015" 8 1 2
"S015" 9 2 5
"S015" 10 3 8
"S015" 11 6 10
"S015" 12 5 10
"S015" 13 2 5
"S015" 14 5 9
"S015" 15 1 2
"S015" 16 6 9
"S015" 17 4 7
"S015" 18 3 6
"S015" 19 2 5
"S015" 20 4 7
"S015" 21 1 2
"S015" 22 3 5
"S015" 23 6 9
"S015" 24 5 6
"S015" 25 2 3
"S015" 26 3 7
"S015" 27 1 3
"S015" 28 4 9
"S015" 29 6 10
"S015" 30 5 7
"S016" 1 6 5
"S016" 2 1 2
"S016" 3 5 4
"S016" 4 4 4
"S016" 5 2 3
"S016" 6 3 4
"S016" 7 4 5
"S016" 8 5 6
"S016" 9 6 7
"S016" 10 1 1
"S016" 11 3 3
"S016" 12 2 4
"S016" 13 6 7
"S016" 14 3 3
"S016" 15 4 4
"S016" 16 2 2
"S016" 17 1 1
"S016" 18 5 4
"S016" 19 2 3
"S016" 20 5 5
"S016" 21 6 7
"S016" 22 4 5
"S016" 23 3 4
"S016" 24 1 2
"S016" 25 2 3
"S016" 26 3 4
"S016" 27 5 5
"S016" 28 6 6
"S016" 29 4 5
"S016" 30 1 1
"S017" 1 1 1
"S017" 2 3 2
"S017" 3 4 3
"S017" 4 6 4
"S017" 5 2 4
"S017" 6 5 4
"S017" 7 3 3
"S017" 8 1 3
"S017" 9 2 3
"S017" 10 4 2
"S017" 11 6 3
"S017" 12 5 2
"S017" 13 4 3
"S017" 14 1 1
"S017" 15 5 4
"S017" 16 2 4
"S017" 17 6 5
"S017" 18 3 3
"S017" 19 6 4
"S017" 20 5 3
"S017" 21 4 3
"S017" 22 2 3
"S017" 23 1 1
"S017" 24 3 2
"S017" 25 3 1
"S017" 26 6 5
"S017" 27 2 4
"S017" 28 1 2
"S017" 29 5 3
"S017" 30 4 2
"S018" 1 5 8
"S018" 2 4 8
"S018" 3 3 7
"S018" 4 1 3
"S018" 5 6 10
"S018" 6 2 4
"S018" 7 4 8
"S018" 8 6 7
"S018" 9 3 6
"S018" 10 5 7
"S018" 11 2 5
"S018" 12 1 2
"S018" 13 1 2
"S018" 14 3 4
"S018" 15 5 7
"S018" 16 4 8
"S018" 17 6 9
"S018" 18 2 4
"S018" 19 2 3
"S018" 20 4 5
"S018" 21 6 7
"S018" 22 1 2
"S018" 23 5 8
"S018" 24 3 7
"S018" 25 1 2
"S018" 26 2 3
"S018" 27 5 9
"S018" 28 6 10
"S018" 29 4 9
"S018" 30 3 7
"S019" 1 6 4
"S019" 2 2 1.2
"S019" 3 3 1.3
"S019" 4 1 0.8
"S019" 5 5 4.5
"S019" 6 4 3.5
"S019" 7 2 2
"S019" 8 3 2
"S019" 9 4 2.5
"S019" 10 6 2.3
"S019" 11 1 7
"S019" 12 5 3
"S019" 13 3 2
"S019" 14 2 1.3
"S019" 15 6 3
"S019" 16 1 0.5
"S019" 17 5 4
"S019" 18 4 4.5
"S019" 19 2 2.5
"S019" 20 5 4
"S019" 21 4 3.8
"S019" 22 6 5
"S019" 23 1 0.4
"S019" 24 3 4
"S019" 25 2 3
"S019" 26 4 4
"S019" 27 6 4.5
"S019" 28 3 3.2
"S019" 29 5 3
"S019" 30 1 0.5
"S020" 1 6 5
"S020" 2 3 3
"S020" 3 2 2.5
"S020" 4 5 6
"S020" 5 4 7
"S020" 6 1 0.5
"S020" 7 5 4
"S020" 8 6 6
"S020" 9 3 3
"S020" 10 1 0.5
"S020" 11 4 4
"S020" 12 2 2
"S020" 13 4 6
"S020" 14 5 6.5
"S020" 15 2 2
"S020" 16 1 0.5
"S020" 17 3 5
"S020" 18 6 8
"S020" 19 5 6
"S020" 20 4 6.5
"S020" 21 6 7
"S020" 22 1 0.5
"S020" 23 2 2
"S020" 24 3 4
"S020" 25 1 0.3
"S020" 26 6 7
"S020" 27 3 4
"S020" 28 4 8
"S020" 29 2 1.5
"S020" 30 5 5
"S021" 1 4 1
"S021" 2 3 1
"S021" 3 5 1
"S021" 4 2 1
"S021" 5 6 1
"S021" 6 1 0
"S021" 7 6 1
"S021" 8 5 1
"S021" 9 3 1
"S021" 10 2 1
"S021" 11 4 1
"S021" 12 1 0
"S021" 13 3 1
"S021" 14 4 1
"S021" 15 6 1
"S021" 16 5 1
"S021" 17 2 0
"S021" 18 1 0
"S021" 19 4 1
"S021" 20 2 1
"S021" 21 1 0
"S021" 22 5 2
"S021" 23 6 2
"S021" 24 3 1
"S021" 25 1 0
"S021" 26 2 1
"S021" 27 3 1
"S021" 28 5 1
"S021" 29 6 2
"S021" 30 4 2
"S022" 1 5 4
"S022" 2 6 5
"S022" 3 2 3
"S022" 4 3 4
"S022" 5 1 2
"S022" 6 4 4
"S022" 7 2 3
"S022" 8 4 5
"S022" 9 5 4
"S022" 10 6 6
"S022" 11 1 2
"S022" 12 3 4
"S022" 13 1 2
"S022" 14 2 4
"S022" 15 3 6
"S022" 16 6 7
"S022" 17 5 6
"S022" 18 4 4
"S022" 19 3 3
"S022" 20 6 5
"S022" 21 4 4
"S022" 22 2 3
"S022" 23 1 2
"S022" 24 5 5
"S022" 25 1 2
"S022" 26 3 4
"S022" 27 2 4
"S022" 28 4 5
"S022" 29 5 4
"S022" 30 6 6
"S023" 1 5 2
"S023" 2 3 2
"S023" 3 6 3
"S023" 4 4 3
"S023" 5 1 1
"S023" 6 2 2
"S023" 7 6 3
"S023" 8 1 1
"S023" 9 3 3
"S023" 10 4 2
"S023" 11 2 2
"S023" 12 5 3
"S023" 13 4 3
"S023" 14 2 1
"S023" 15 1 1
"S023" 16 6 4
"S023" 17 3 3
"S023" 18 5 2
"S023" 19 2 1
"S023" 20 3 1
"S023" 21 6 3
"S023" 22 1 1
"S023" 23 4 3
"S023" 24 5 4
"S023" 25 2 2
"S023" 26 6 3
"S023" 27 5 2
"S023" 28 3 2
"S023" 29 1 1
"S023" 30 4 3
"S024" 1 6 2
"S024" 2 1 1
"S024" 3 5 2
"S024" 4 2 1.5
"S024" 5 3 2
"S024" 6 4 3
"S024" 7 2 1.5
"S024" 8 6 2
"S024" 9 4 2
"S024" 10 5 2
"S024" 11 3 1
"S024" 12 1 0.5
"S024" 13 5 3
"S024" 14 1 1
"S024" 15 6 3
"S024" 16 4 2
"S024" 17 2 2
"S024" 18 3 3
"S024" 19 3 2
"S024" 20 1 1
"S024" 21 6 3
"S024" 22 5 2
"S024" 23 2 2
"S024" 24 4 3
"S024" 25 1 1
"S024" 26 2 3
"S024" 27 6 3
"S024" 28 5 2
"S024" 29 3 2
"S024" 30 4 2
"S025" 1 3 3
"S025" 2 1 1
"S025" 3 2 2
"S025" 4 6 4
"S025" 5 5 5
"S025" 6 4 6
"S025" 7 6 10
"S025" 8 1 2
"S025" 9 2 3
"S025" 10 4 5
"S025" 11 3 6
"S025" 12 5 10
"S025" 13 3 15
"S025" 14 5 10
"S025" 15 4 12
"S025" 16 2 5
"S025" 17 1 2
"S025" 18 6 15
"S025" 19 6 20
"S025" 20 2 5
"S025" 21 3 10
"S025" 22 5 15
"S025" 23 4 15
"S025" 24 1 5
"S025" 25 1 2
"S025" 26 5 10
"S025" 27 2 15
"S025" 28 3 12
"S025" 29 6 15
"S025" 30 4 15
"S026" 1 2 5
"S026" 2 6 8
"S026" 3 4 7
"S026" 4 5 8
"S026" 5 1 1
"S026" 6 3 4
"S026" 7 1 1
"S026" 8 3 3
"S026" 9 2 2.5
"S026" 10 6 10
"S026" 11 5 8
"S026" 12 4 7
"S026" 13 6 9
"S026" 14 3 6
"S026" 15 4 5
"S026" 16 2 3
"S026" 17 1 1
"S026" 18 5 4
"S026" 19 1 1
"S026" 20 5 7
"S026" 21 3 5
"S026" 22 4 5
"S026" 23 6 7
"S026" 24 2 3
"S026" 25 3 4
"S026" 26 1 1
"S026" 27 6 12
"S026" 28 2 4
"S026" 29 5 4
"S026" 30 4 5
"S027" 1 5 3
"S027" 2 1 1
"S027" 3 6 6
"S027" 4 4 4
"S027" 5 3 3
"S027" 6 2 1.5
"S027" 7 4 3
"S027" 8 1 1
"S027" 9 6 4
"S027" 10 5 3
"S027" 11 2 2
"S027" 12 3 3
"S027" 13 3 5
"S027" 14 1 1
"S027" 15 6 7
"S027" 16 4 6
"S027" 17 2 3
"S027" 18 5 4.5
"S027" 19 4 4.5
"S027" 20 3 3
"S027" 21 2 2
"S027" 22 5 5
"S027" 23 6 7
"S027" 24 1 2
"S027" 25 6 6
"S027" 26 1 1
"S027" 27 5 5
"S027" 28 3 4
"S027" 29 2 3
"S027" 30 4 7
"S028" 1 2 2
"S028" 2 4 4
"S028" 3 6 4
"S028" 4 3 3
"S028" 5 1 1
"S028" 6 5 3
"S028" 7 4 5
"S028" 8 3 4
"S028" 9 1 1
"S028" 10 2 2
"S028" 11 5 6
"S028" 12 6 7
"S028" 13 4 5
"S028" 14 1 1
"S028" 15 3 3
"S028" 16 5 5
"S028" 17 6 4
"S028" 18 2 3
"S028" 19 2 2
"S028" 20 3 4
"S028" 21 5 5
"S028" 22 1 1
"S028" 23 4 7
"S028" 24 6 8
"S028" 25 3 6
"S028" 26 5 5
"S028" 27 1 1
"S028" 28 4 4
"S028" 29 6 7
"S028" 30 2 4
"S029" 1 6 7
"S029" 2 4 6
"S029" 3 2 3
"S029" 4 5 6
"S029" 5 3 4
"S029" 6 1 2
"S029" 7 5 7
"S029" 8 1 2
"S029" 9 4 6
"S029" 10 3 6
"S029" 11 6 8
"S029" 12 2 6
"S029" 13 5 7
"S029" 14 4 7
"S029" 15 1 3
"S029" 16 6 8
"S029" 17 3 5
"S029" 18 2 4
"S029" 19 4 6
"S029" 20 2 6
"S029" 21 1 2
"S029" 22 3 5
"S029" 23 6 7
"S029" 24 5 6
"S029" 25 3 6
"S029" 26 5 7
"S029" 27 4 7
"S029" 28 1 1
"S029" 29 6 5
"S029" 30 2 4
"S030" 1 3 5
"S030" 2 4 5
"S030" 3 1 3
"S030" 4 2 5
"S030" 5 6 6
"S030" 6 5 5
"S030" 7 1 2
"S030" 8 2 4
"S030" 9 4 6
"S030" 10 6 7
"S030" 11 5 5
"S030" 12 3 4
"S030" 13 3 4
"S030" 14 2 3
"S030" 15 1 2
"S030" 16 5 6
"S030" 17 4 5
"S030" 18 6 6
"S030" 19 5 5
"S030" 20 4 4
"S030" 21 1 2
"S030" 22 6 7
"S030" 23 2 3
"S030" 24 3 4
"S030" 25 1 2
"S030" 26 3 4
"S030" 27 2 3
"S030" 28 4 6
"S030" 29 6 5
"S030" 30 5 4
