"sujeto" "trial" "distancia" "respuesta"
"S008" 22 2 10
"S008" 23 5 12
"S008" 24 6 15
"S008" 25 1 7
"S008" 26 5 14
"S008" 27 3 15
"S008" 28 2 13
"S008" 29 4 14
"S008" 30 6 15
"S009" 1 3 2
"S009" 2 2 2
"S009" 3 6 5
"S009" 4 5 5
"S009" 5 4 4
"S009" 6 1 1
"S009" 7 6 5
"S009" 8 4 5
"S009" 9 1 2
"S009" 10 3 5
"S009" 11 2 3
"S009" 12 5 5
"S009" 13 1 1
"S009" 14 4 6
"S009" 15 2 2
"S009" 16 3 3
"S009" 17 5 5
"S009" 18 6 5
"S009" 19 1 1
"S009" 20 5 5
"S009" 21 2 3
"S009" 22 4 4
"S009" 23 6 5
"S009" 24 3 3
"S009" 25 2 2
"S009" 26 1 1
"S009" 27 6 5
"S009" 28 3 4
"S009" 29 5 4
"S009" 30 4 3
"S010" 1 1 2
"S010" 2 4 5
"S010" 3 6 7
"S010" 4 2 3
"S010" 5 5 4
"S010" 6 3 3
"S010" 7 5 4
"S010" 8 6 5
"S010" 9 4 5
"S010" 10 3 4
"S010" 11 1 2
"S010" 12 2 4
"S010" 13 2 5
"S010" 14 4 7
"S010" 15 3 6
"S010" 16 6 7
"S010" 17 1 2
"S010" 18 5 5
"S010" 19 1 2
"S010" 20 3 5
"S010" 21 2 4
"S010" 22 5 5
"S010" 23 6 6
"S010" 24 4 6
"S010" 25 2 5
"S010" 26 4 6
"S010" 27 6 5
"S010" 28 3 4
"S010" 29 1 1
"S010" 30 5 4
"S011" 1 3 5
"S011" 2 6 5
"S011" 3 1 3
"S011" 4 5 4
"S011" 5 2 4
"S011" 6 4 6
"S011" 7 1 3
"S011" 8 2 5
"S011" 9 3 6
"S011" 10 5 6
"S011" 11 6 7
"S011" 12 4 7
"S011" 13 5 8
"S011" 14 6 9
"S011" 15 2 7
"S011" 16 3 8
"S011" 17 1 5
"S011" 18 4 7
"S011" 19 3 7
"S011" 20 6 8
"S011" 21 1 4
"S011" 22 2 7
"S011" 23 4 9
"S011" 24 5 8
"S011" 25 6 9
"S011" 26 3 6
"S011" 27 4 7
"S011" 28 2 6
"S011" 29 1 5
"S011" 30 5 7
"S012" 1 4 2
"S012" 2 2 2
"S012" 3 1 1
"S012" 4 6 4
"S012" 5 3 5
"S012" 6 5 4
"S012" 7 5 5
"S012" 8 6 5
"S012" 9 4 4
"S012" 10 3 3
"S012" 11 2 2
"S012" 12 1 1
"S012" 13 2 1
"S012" 14 5 3
"S012" 15 3 3
"S012" 16 6 3
"S012" 17 4 3
"S012" 18 1 2
"S012" 19 5 3
"S012" 20 6 5
"S012" 21 1 1
"S012" 22 3 2
"S012" 23 2 2
"S012" 24 4 3
"S012" 25 2 1
"S012" 26 4 2
"S012" 27 6 2
"S012" 28 5 2
"S012" 29 3 3
"S012" 30 1 1
"S013" 1 3 7
"S013" 2 6 7
"S013" 3 4 7
"S013" 4 5 7
"S013" 5 1 5
"S013" 6 2 6
"S013" 7 4 8
"S013" 8 2 5
"S013" 9 1 5
"S013" 10 6 9
"S013" 11 3 9
"S013" 12 5 12
"S013" 13 3 12
"S013" 14 2 10
"S013" 15 1 7
"S013" 16 6 11
"S013" 17 4 12
"S013" 18 5 12
"S013" 19 2 12
"S013" 20 4 12
"S013" 21 6 13
"S013" 22 5 13
"S013" 23 3 10
"S013" 24 1 5
"S013" 25 3 7
"S013" 26 6 10
"S013" 27 2 8
"S013" 28 5 12
"S013" 29 1 5
"S013" 30 4 12
"S014" 1 5 5
"S014" 2 4 5
"S014" 3 3 4
"S014" 4 1 2
"S014" 5 6 5
"S014" 6 2 4
"S014" 7 1 1
"S014" 8 6 5
"S014" 9 3 5
"S014" 10 2 4
"S014" 11 4 5
"S014" 12 5 4
"S014" 13 3 4
"S014" 14 4 4
"S014" 15 1 1
"S014" 16 5 5
"S014" 17 6 5
"S014" 18 2 4
"S014" 19 5 4
"S014" 20 1 1
"S014" 21 4 5
"S014" 22 3 6
"S014" 23 6 6
"S014" 24 2 4
"S014" 25 6 5
"S014" 26 5 5
"S014" 27 4 5
"S014" 28 3 5
"S014" 29 1 1
"S014" 30 2 3
"S015" 1 4 7
"S015" 2 2 7
"S015" 3 6 6
"S015" 4 5 6
"S015" 5 1 4
"S015" 6 3 5
"S015" 7 3 6
"S015" 8 1 4
"S015" 9 6 7
"S015" 10 4 6
"S015" 11 5 7
"S015" 12 2 5
"S015" 13 2 4.5
"S015" 14 1 3
"S015" 15 5 6
"S015" 16 3 77
"S015" 17 4 6
"S015" 18 6 7
"S015" 19 3 6
"S015" 20 1 3
"S015" 21 5 5
"S015" 22 6 7
"S015" 23 4 6
"S015" 24 2 5
"S015" 25 3 6
"S015" 26 4 6
"S015" 27 6 7
"S015" 28 5 6
"S015" 29 1 3
"S015" 30 2 5
"S016" 1 5 6
"S016" 2 6 6
"S016" 3 2 4
"S016" 4 3 5
"S016" 5 1 4
"S016" 6 4 7
"S016" 7 3 8
"S016" 8 5 6
"S016" 9 6 8
"S016" 10 1 3
"S016" 11 4 6
"S016" 12 2 4
"S016" 13 2 3
"S016" 14 1 2
"S016" 15 3 7
"S016" 16 4 7
"S016" 17 5 8
"S016" 18 6 9
"S016" 19 5 9
"S016" 20 2 5
"S016" 21 6 6
"S016" 22 4 5
"S016" 23 1 2
"S016" 24 3 5
"S016" 25 4 6
"S016" 26 1 2
"S016" 27 5 7
"S016" 28 6 8
"S016" 29 2 5
"S016" 30 3 6
"S017" 1 2 4
"S017" 2 4 35
"S017" 3 3 35
"S017" 4 6 45
"S017" 5 5 5
"S017" 6 1 2
"S017" 7 6 45
"S017" 8 2 35
"S017" 9 4 35
"S017" 10 3 4
"S017" 11 5 3
"S017" 12 1 15
"S017" 13 6 4
"S017" 14 3 35
"S017" 15 2 25
"S017" 16 5 4
"S017" 17 1 15
"S017" 18 4 45
"S017" 19 1 1
"S017" 20 2 3
"S017" 21 3 4
"S017" 22 4 45
"S017" 23 5 4
"S017" 24 6 5
"S017" 25 2 35
"S017" 26 1 15
"S017" 27 4 4
"S017" 28 3 35
"S017" 29 6 45
"S017" 30 5 4
"S018" 1 4 4
"S018" 2 2 3
"S018" 3 3 3
"S018" 4 5 4
"S018" 5 1 2
"S018" 6 6 5
"S018" 7 3 4
"S018" 8 5 5
"S018" 9 6 6
"S018" 10 1 1
"S018" 11 2 3
"S018" 12 4 4
"S018" 13 2 3
"S018" 14 5 4
"S018" 15 1 1
"S018" 16 3 4
"S018" 17 4 5
"S018" 18 6 6
"S018" 19 1 3
"S018" 20 3 5
"S018" 21 5 6
"S018" 22 2 3
"S018" 23 4 5
"S018" 24 6 6
"S018" 25 2 4
"S018" 26 6 5
"S018" 27 5 5
"S018" 28 3 4
"S018" 29 1 2
"S018" 30 4 4
"S019" 1 6 10
"S019" 2 4 8
"S019" 3 5 7
"S019" 4 3 7
"S019" 5 2 6
"S019" 6 1 5
"S019" 7 5 10
"S019" 8 3 9
"S019" 9 4 10
"S019" 10 2 8
"S019" 11 1 6
"S019" 12 6 12
"S019" 13 5 11
"S019" 14 3 10
"S019" 15 2 9
"S019" 16 4 10
"S019" 17 6 11
"S019" 18 1 6
"S019" 19 3 10
"S019" 20 5 11
"S019" 21 2 8
"S019" 22 1 6
"S019" 23 6 12
"S019" 24 4 10
"S019" 25 1 7
"S019" 26 3 9
"S019" 27 2 8
"S019" 28 5 11
"S019" 29 6 12
"S019" 30 4 11
"S020" 1 5 2
"S020" 2 6 3
"S020" 3 4 3.5
"S020" 4 1 1.5
"S020" 5 3 2.5
"S020" 6 2 2
"S020" 7 2 2.5
"S020" 8 6 3.5
"S020" 9 1 1.5
"S020" 10 5 3
"S020" 11 4 3.5
"S020" 12 3 3
"S020" 13 3 3
"S020" 14 5 3.5
"S020" 15 2 2.5
"S020" 16 6 3.5
"S020" 17 1 1.5
"S020" 18 4 3
"S020" 19 3 3.5
"S020" 20 5 3.5
"S020" 21 4 3.5
"S020" 22 1 1.5
"S020" 23 6 4
"S020" 24 2 2
"S020" 25 1 1.5
"S020" 26 4 3.5
"S020" 27 5 3.5
"S020" 28 2 3
"S020" 29 6 4
"S020" 30 3 3
"S021" 1 1 0.5
"S021" 2 2 1
"S021" 3 6 2
"S021" 4 3 1.5
"S021" 5 5 2
"S021" 6 4 2
"S021" 7 5 2
"S021" 8 6 2.5
"S021" 9 3 1.5
"S021" 10 2 1
"S021" 11 1 1
"S021" 12 4 1.5
"S021" 13 1 0.5
"S021" 14 6 2
"S021" 15 4 2
"S021" 16 2 2
"S021" 17 3 1.5
"S021" 18 5 2
"S021" 19 5 2
"S021" 20 1 0.5
"S021" 21 4 2
"S021" 22 6 2.5
"S021" 23 3 2
"S021" 24 2 1
"S021" 25 6 2
"S021" 26 1 0.5
"S021" 27 5 1.5
"S021" 28 4 1.5
"S021" 29 3 2
"S021" 30 2 1.5
"S022" 1 4 8
"S022" 2 5 8
"S022" 3 6 9
"S022" 4 1 3
"S022" 5 3 5
"S022" 6 2 6
"S022" 7 1 2
"S022" 8 3 7
"S022" 9 5 9
"S022" 10 4 6
"S022" 11 6 5
"S022" 12 2 3
"S022" 13 5 6
"S022" 14 6 7
"S022" 15 3 8
"S022" 16 4 9
"S022" 17 1 2
"S022" 18 2 7
"S022" 19 2 6
"S022" 20 5 7
"S022" 21 4 6
"S022" 22 1 2
"S022" 23 3 7
"S022" 24 6 8
"S022" 25 3 7
"S022" 26 2 5
"S022" 27 5 6
"S022" 28 4 6
"S022" 29 6 5
"S022" 30 1 2
"S023" 1 1 4
"S023" 2 2 4
"S023" 3 5 5
"S023" 4 6 6
"S023" 5 3 7
"S023" 6 4 8
"S023" 7 2 7
"S023" 8 6 8
"S023" 9 5 8
"S023" 10 3 8
"S023" 11 4 8
"S023" 12 1 6
"S023" 13 1 6
"S023" 14 4 7
"S023" 15 3 8
"S023" 16 6 9
"S023" 17 5 9
"S023" 18 2 8
"S023" 19 3 9
"S023" 20 1 7
"S023" 21 2 8
"S023" 22 6 9
"S023" 23 5 9
"S023" 24 4 9
"S023" 25 1 8
"S023" 26 5 9
"S023" 27 6 9
"S023" 28 4 9
"S023" 29 2 8
"S023" 30 3 8
"S024" 1 4 3.5
"S024" 2 2 2.5
"S024" 3 3 2.5
"S024" 4 1 2
"S024" 5 5 3
"S024" 6 6 4
"S024" 7 6 4.5
"S024" 8 2 2
"S024" 9 3 2.5
"S024" 10 1 1
"S024" 11 5 3.5
"S024" 12 4 4
"S024" 13 2 2
"S024" 14 6 2
"S024" 15 1 0.5
"S024" 16 5 4
"S024" 17 4 4.5
"S024" 18 3 3.5
"S024" 19 2 2
"S024" 20 3 2.5
"S024" 21 1 1
"S024" 22 6 5
"S024" 23 5 4.5
"S024" 24 4 4
"S024" 25 4 5
"S024" 26 6 4
"S024" 27 1 0.5
"S024" 28 5 3
"S024" 29 2 2
"S024" 30 3 3
"S025" 1 4 1.5
"S025" 2 5 1
"S025" 3 2 1
"S025" 4 3 1
"S025" 5 1 0.8
"S025" 6 6 1.5
"S025" 7 5 1
"S025" 8 6 1
"S025" 9 3 1
"S025" 10 2 1.2
"S025" 11 1 0.6
"S025" 12 4 1
"S025" 13 1 0.8
"S025" 14 5 1
"S025" 15 4 1
"S025" 16 3 1
"S025" 17 2 1
"S025" 18 6 1.3
"S025" 19 4 1.3
"S025" 20 5 1.3
"S025" 21 3 1.1
"S025" 22 1 0.6
"S025" 23 6 1.3
"S025" 24 2 1
"S025" 25 4 1
"S025" 26 3 1
"S025" 27 1 0.6
"S025" 28 2 1
"S025" 29 6 0.8
"S025" 30 5 1
"S026" 1 3 3
"S026" 2 5 4
"S026" 3 1 1
"S026" 4 2 3
"S026" 5 4 5
"S026" 6 6 6
"S026" 7 5 6
"S026" 8 1 1
"S026" 9 6 4
"S026" 10 2 4
"S026" 11 3 5
"S026" 12 4 5
"S026" 13 5 5
"S026" 14 3 3
"S026" 15 2 3
"S026" 16 6 6
"S026" 17 4 4
"S026" 18 1 2
"S026" 19 3 4
"S026" 20 6 6
"S026" 21 5 6
"S026" 22 4 3
"S026" 23 1 1
"S026" 24 2 4
"S026" 25 1 5
"S026" 26 6 9
"S026" 27 5 5
"S026" 28 2 6
"S026" 29 3 4
"S026" 30 4 6
"S027" 1 1 0.3
"S027" 2 4 1
"S027" 3 5 1.5
"S027" 4 2 1
"S027" 5 3 1
"S027" 6 6 1.5
"S027" 7 5 1.5
"S027" 8 3 1.5
"S027" 9 6 2
"S027" 10 4 2
"S027" 11 1 1.5
"S027" 12 2 2
"S027" 13 1 1.5
"S027" 14 3 2
"S027" 15 2 2
"S027" 16 4 2.5
"S027" 17 5 2.5
"S027" 18 6 2.5
"S027" 19 2 1.5
"S027" 20 4 1.5
"S027" 21 5 1.5
"S027" 22 3 1.5
"S027" 23 1 1
"S027" 24 6 2
"S027" 25 1 1
"S027" 26 6 2.5
"S027" 27 2 2
"S027" 28 4 2.5
"S027" 29 5 2.5
"S027" 30 3 2
"S028" 1 4 2
"S028" 2 2 1
"S028" 3 3 3
"S028" 4 1 1
"S028" 5 5 4
"S028" 6 6 5
"S028" 7 2 2
"S028" 8 6 5
"S028" 9 3 3
"S028" 10 1 1
"S028" 11 5 4
"S028" 12 4 5
"S028" 13 4 6
"S028" 14 5 5
"S028" 15 2 3
"S028" 16 6 4
"S028" 17 1 1
"S028" 18 3 4
"S028" 19 6 5
"S028" 20 2 2
"S028" 21 5 3
"S028" 22 1 1
"S028" 23 3 4
"S028" 24 4 5
"S028" 25 2 2
"S028" 26 5 3
"S028" 27 3 4
"S028" 28 4 5
"S028" 29 6 6
"S028" 30 1 1
"S029" 1 2 1000
"S029" 2 5 12
"S029" 3 6 13
"S029" 4 3 9
"S029" 5 1 6
"S029" 6 4 12
"S029" 7 4 15
"S029" 8 3 12
"S029" 9 6 18
"S029" 10 1 4
"S029" 11 5 11
"S029" 12 2 9
"S029" 13 3 14
"S029" 14 4 13
"S029" 15 6 17
"S029" 16 2 6
"S029" 17 5 10.5
"S029" 18 1 3
"S029" 19 4 12.3
"S029" 20 3 8.5
"S029" 21 2 7.5
"S029" 22 6 20
"S029" 23 5 12
"S029" 24 1 4.6
"S029" 25 2 9
"S029" 26 3 9.7
"S029" 27 4 8.9
"S029" 28 1 3.5
"S029" 29 5 10
"S029" 30 6 14
"S030" 1 3 2
"S030" 2 4 1.5
"S030" 3 1 0.5
"S030" 4 6 2
"S030" 5 2 0.5
"S030" 6 5 0.5
"S030" 7 4 1.5
"S030" 8 1 0.25
"S030" 9 5 2
"S030" 10 6 4
"S030" 11 2 3
"S030" 12 3 3
"S030" 13 2 4.5
"S030" 14 5 3.5
"S030" 15 3 4.5
"S030" 16 6 3
"S030" 17 1 1
"S030" 18 4 6
"S030" 19 6 7
"S030" 20 1 0.5
"S030" 21 3 2
"S030" 22 4 4
"S030" 23 2 3
"S030" 24 5 6
"S030" 25 3 5
"S030" 26 4 5.5
"S030" 27 2 3.5
"S030" 28 6 4.5
"S030" 29 5 2
"S030" 30 1 0.75
"S031" 1 3 7
"S031" 2 6 8
"S031" 3 1 3
"S031" 4 2 6
"S031" 5 5 8
"S031" 6 4 7
"S031" 7 1 3
"S031" 8 3 5
"S031" 9 4 7
"S031" 10 2 5
"S031" 11 5 8
"S031" 12 6 10
"S031" 13 2 3
"S031" 14 6 4
"S031" 15 4 5
"S031" 16 3 3
"S031" 17 5 6
"S031" 18 1 2
"S031" 19 1 2
"S031" 20 6 6
"S031" 21 2 3
"S031" 22 3 4
"S031" 23 4 5
"S031" 24 5 4
"S031" 25 1 2
"S031" 26 6 8
"S031" 27 2 7
"S031" 28 4 6
"S031" 29 5 6
"S031" 30 3 6
"S032" 1 5 2
"S032" 2 3 2
"S032" 3 2 2
"S032" 4 6 2
"S032" 5 4 2
"S032" 6 1 2
"S032" 7 5 2
"S032" 8 6 2
"S032" 9 3 2
"S032" 10 1 2
"S032" 11 4 2
"S032" 12 2 2
"S032" 13 3 1.5
"S032" 14 4 1.5
"S032" 15 6 1.5
"S032" 16 5 1.3
"S032" 17 2 1
"S032" 18 1 1
"S032" 19 4 0.3
"S032" 20 6 1.3
"S032" 21 2 1
"S032" 22 3 0.5
"S032" 23 5 1
"S032" 24 1 1
"S032" 25 3 1
"S032" 26 2 1
"S032" 27 6 1
"S032" 28 5 1
"S032" 29 4 1
"S032" 30 1 0.8
"S033" 1 6 4
"S033" 2 4 4
"S033" 3 1 0.5
"S033" 4 5 3
"S033" 5 3 3
"S033" 6 2 2.5
"S033" 7 4 3
"S033" 8 2 3.5
"S033" 9 5 6
"S033" 10 1 1
"S033" 11 3 3
"S033" 12 6 7
"S033" 13 2 5
"S033" 14 4 7.5
"S033" 15 5 7
"S033" 16 3 7.5
"S033" 17 6 8
"S033" 18 1 1
"S033" 19 5 7
"S033" 20 3 8.5
"S033" 21 6 9
"S033" 22 4 8.5
"S033" 23 1 1
"S033" 24 2 4
"S033" 25 2 4
"S033" 26 5 6
"S033" 27 6 7
"S033" 28 3 6.5
"S033" 29 4 5
"S033" 30 1 1
"S034" 1 3 3
"S034" 2 6 2
"S034" 3 5 1
"S034" 4 4 0
"S034" 5 1 0
"S034" 6 2 3
"S034" 7 4 5
"S034" 8 2 3
"S034" 9 6 6
"S034" 10 5 5
"S034" 11 1 1
"S034" 12 3 7
"S034" 13 4 9
"S034" 14 2 4
"S034" 15 5 6
"S034" 16 1 1
"S034" 17 3 33
"S034" 18 6 6
"S034" 19 4 3
"S034" 20 6 4
"S034" 21 5 2
"S034" 22 2 1
"S034" 23 3 3
"S034" 24 1 0
"S034" 25 3 5
"S034" 26 2 3
"S034" 27 1 1
"S034" 28 4 5
"S034" 29 6 9
"S034" 30 5 8
"S035" 1 2 1
"S035" 2 5 3
"S035" 3 3 2.7
"S035" 4 6 5
"S035" 5 4 4
"S035" 6 1 0.5
"S035" 7 1 1
"S035" 8 4 6
"S035" 9 6 7
"S035" 10 3 3
"S035" 11 2 2
"S035" 12 5 2
"S035" 13 4 3
"S035" 14 2 2
"S035" 15 1 0.5
"S035" 16 6 4
"S035" 17 3 3
"S035" 18 5 5
"S035" 19 4 3
"S035" 20 6 6
"S035" 21 5 5
"S035" 22 2 2
"S035" 23 3 5
"S035" 24 1 1
"S035" 25 1 1
"S035" 26 2 0.5
"S035" 27 6 5
"S035" 28 4 4
"S035" 29 3 3
"S035" 30 5 3
"S036" 1 1 2
"S036" 2 6 4
"S036" 3 3 3
"S036" 4 5 3.5
"S036" 5 4 4
"S036" 6 2 2
"S036" 7 3 2
"S036" 8 5 2
"S036" 9 6 3
"S036" 10 1 1
"S036" 11 4 3
"S036" 12 2 2
"S036" 13 2 1.8
"S036" 14 6 3
"S036" 15 1 1
"S036" 16 4 3
"S036" 17 3 2.8
"S036" 18 5 3
"S036" 19 1 1
"S036" 20 5 3
"S036" 21 6 4
"S036" 22 4 3.8
"S036" 23 3 3.8
"S036" 24 2 3
"S036" 25 3 3.5
"S036" 26 6 4
"S036" 27 1 1
"S036" 28 4 4
"S036" 29 5 4.5
"S036" 30 2 2.8
"S037" 1 6 15
"S037" 2 5 15
"S037" 3 2 12
"S037" 4 3 18
"S037" 5 1 10
"S037" 6 4 15
"S037" 7 4 17
"S037" 8 1 12
"S037" 9 3 20
"S037" 10 6 22
"S037" 11 2 18
"S037" 12 5 21
"S037" 13 2 12
"S037" 14 3 15
"S037" 15 1 8
"S037" 16 4 14
"S037" 17 5 15
"S037" 18 6 20
"S037" 19 1 6
"S037" 20 2 11
"S037" 21 6 22
"S037" 22 3 22
"S037" 23 5 22
"S037" 24 4 22
"S037" 25 2 21
"S037" 26 4 22
"S037" 27 1 18
"S037" 28 6 25
"S037" 29 5 23
"S037" 30 3 23
